"video_id","channel_id","title","description","url","view_count","likes_count","comments_count","video_length_seconds","keywords","hashtags","collected_time"
"PKbL-427wms","UCeM3IXubMXTH3LdsMQ3VAhw","CBI 5 THE BRAIN OFFICIAL TRAILER | MAMMOOTTY | K MADHU | S N SWAMY | APPACHAN | JAKES BEJOY","Presenting you the Trailer of the most epic investigation thriller made in Malayalam starring Mammootty in lead produced by Swargachitra Appachan Directed by K.Madhu Written by S.N.Swamy and Music by Jakes Bejoy \n\nDirector: K Madhu\nProducer: Swargachitra Appachan\nWriter: S N Swamy \nDOP: Akhil George\nMusic: Jakes Bejoy\nEditor: Sreekar Prasad\nArt Director: Cyril Kuruvilla\nCo-Producers: Saneesh Abraham & Manish Abraham\nExecutive producer: Babu Shahir\nProduction Controller: Aroma Mohan\nSound Design: Vicky, Kishan\nFinal Mixing: M R Rajakrishnan\nCostume: Stephy Xavier \nMakeup: Pradeep Rangan, S. George\nChief Associate Director: V. Bose\nAssociate Directors: Sivaram, Ratish\nVFX: DIGIBRICKS\nDI: MOKSHA POST\nColourist: Shanmuga Pandian M\nDI Line Producer: Jithin K Salim\nAssistant Colourist and DI Conformist: Sajumon R D\nDigital Workflow Consultant: Raam H Puthran\nStills: Saleesh Peringottukara\nDigital PR: Vaisakh C Vadakkeveedu, Vishnu Sugathan\nDesigns: Anand Rajendran\n\n\nCast:\nMammootty\nRenji Panicker\nSai Kumar\nJagathy Sreekumar\nSoubin Shahir\nMukesh\nRamesh Pisharadi\nAnoop Menon\nDileesh Pothen\nRavi Kumar\nHarish Raju\nEdavela Babu\nSudev Nair\nPrasanth Alexander\nRamesh Kottayam\nJayakrishnan\nPrathap Pothen\nSuresh Kumar\nChandhu Karamana\nAzees Nedumangad\nSanthosh Keezhattur\n\nAsha Sarath\nKaniha\nAnsiba\nMalavika Menon\nMalavika Nair\n\n\n\n#CBI_5 #OfficialTrailer #Mammootty \n\n\n\xe2\x99\xa6Subscribe Us: https://goo.gl/6mfvL8\n\xe2\x99\xa6Like Us: https://goo.gl/SYUax3\n\xe2\x99\xa6Follow Us: https://bit.ly/2z0Uhle\n\n|| ANTI-PIRACY WARNING ||\n\nThis content is Copyrighted to SAINA VIDEO VISION. Any unauthorized reproduction, redistribution or re-upload is strictly prohibited. Legal action will be taken against those who violate the copyright of the same.","https://www.youtube.com/watch?v=PKbL-427wms","4525207","225543","13K","143","['cbi 5 official trailer', 'CBI 5 Latest News', 'Swargachithra Appachan latest movie', 'S N Swamy latest movie', 'S N Swamy about CBI 5', 'Bheeshma Parvam movie scene', 'Bheeshma Parvam trailer', 'Mammootty Mass Intro', 'Mammookka CBI 5', 'The Brain', 'CBI 5 trailer', 'Mammootty CBI look', 'kgf 2 chapter review', 'beast song', 'beast review', 'mammokka mass entry in CBI 5', 'Latest malayalam movie trailer', '2022 mammootty', '2022 mammootty movies', 'Dulquer Salmaan Movie', 'cbi 5 updates', 'latest update']","['#CBI_5', '#OfficialTrailer', '#Mammootty']","2022-05-06T20:47:06.148069+05:30"
"oN3tz-UetKw","UCmUODKy5Ilf4TFZmp2ZcUyA","Jana Gana Mana Official Trailer | 4K | Prithviraj Sukumaran | Suraj Venjaramoodu | Dijo Jose Antony","JANA GANA MANA OFFICIAL TRAILER | 4K | PRITHVIRAJ SUKUMARAN | SURAJ VENJARAMOODU | DIJO JOSE ANTONY | SUPRIYA MENON, LISTIN STEPHEN | MAGIC FRAMES | PRITHVIRAJ PRODUCTIONS \n\nJANA GANA MANA IN THEATRES FROM APRIL 28 , 2022\n\nDIRECTED BY \xe2\x80\x93 DIJO JOSE ANTONY \nPRODUCED BY \xe2\x80\x93 SUPRIYA MENON & LISTIN STEPHEN \nCAST \xe2\x80\x93 PRITHVIRAJ SUKUMARAN, SURAJ VENJARAMOODU, MAMTA MOHANDAS, SRI DIVYA, DHRUVAN, SHARI, SHAMMI THILAKAN, RAJA KRISHNAMOORTHY, PASUPATHIRAJ, G M SUNDHAR, ILAVARASU, VINOD SAGAR, VINCY ALOSHIOUS, MIDHUN, HARI KRISHNAN, SHANAVAS, VAISHNAVI VENUGOPAL, CHITHRA IYER, BENZI MATHEWS, DHANYA ANANYA, NIMISHA, DIVYA KRISHNA, JOSEKUTTY JACOB, PRASAD ARUMANAYAKAM, RAJ BABU, ETC \nWRITTEN BY \xe2\x80\x93 SHARIS MOHAMMED \nMUSIC COMPOSED AND PRODUCED BY - JAKES BEJOY \nCO PRODUCER \xe2\x80\x93 JUSTIN STEPHEN \nDOP \xe2\x80\x93 SUDEEP ELAMON \nEDIT & DI \xe2\x80\x93 SREEJITH SARANG \nLINE PRODUCERS \xe2\x80\x93 HARRIS DESOM & SANTHOSH KRISHNAN \nEXECUTIVE PRODUCER \xe2\x80\x93 NAVEEN P THOMAS \nCHIEF ASSO DIRECTOR \xe2\x80\x93 KIRAN RAPHEL \nART \xe2\x80\x93 DILEEPNATH \nCOSTUMES \xe2\x80\x93 STEPHY XAVIOR \nMAKE UP \xe2\x80\x93 RONEX XAVIER \nTHRILLS - BILLA JAGAN\nSPOT EDITOR - AKSHAY KUMAR M J\nPRODUCTION CONTROLLER \xe2\x80\x93 RINNY DIVAKAR \nSOUND DESIGN \xe2\x80\x93 SYNC CINEMA \nVFX AND TITLE ANIMATION - COCONUT BUNCH CREATIONS \nSTILLS \xe2\x80\x93 SINAT SAVIER \nDESIGN \xe2\x80\x93 OLDMONKS \n\n#JanaGanaMana #PrithvirajSukumaran #DijoJoseAntony\n\nJANA GANA MANA TRAILER CREDITS \n\nDIRECTED BY \xe2\x80\x93 DIJO JOSE ANTONY \nMUSIC COMPOSED AND PRODUCED BY - JAKES BEJOY \nCINEMATOGRAPHER \xe2\x80\x93 SYAMAPRAKASH M S \nEDIT & DI \xe2\x80\x93 SREEJITH SARANG\nCHIEF ASSOCIATE DIRECTOR - BINTO STEPHEN\nASSOCIATE DIRECTOR - ARUN V A & SHIBOY S RANJITH\nASSOCIATE CINEMATOGRAPHER - VAISHAKH DEVAN\nPOST PRODUCTION SUPERVISOR - SIMON GEORGE\nTHRILLS - BILLA JAGAN\nLYRICS : JYOTHISH T KASSI\nMUSIC PRODUCTION TEAM - JAKES BEJOY, PRAVEEN NINAN & MIDHUN ASHOKAN\nVOCALS - SHATADRU KABIR & JAKES BEJOY\nCHORUS - JITHIN RAJ, ASWATH, VIKRAM & SAI VIGNESH\nRHYTHM - KALYAN \nFLUTE - JOSY ALAPPUZHA \nSESSION ARRANGED AND MANAGED BY - DANIEL JOSEPH ANTONY & MANEETH MANOJ @ MINDSCORE MUSIC, COCHIN. \nPREMIXED BY - DANIEL JOSEPH ANTONY \nMIXED BY - RAJAKRISHNAN M R \nRECORDING STUDIOS - MINDSCORE STUDIO, COCHIN & SOUNDTOWN STUDIOS, CHENNAI\nRECORDING ENGINEERS - DANIEL ANTONY JOSEPH @ MINDSCORE STUDIO & MIDHUN MANOJ @ SOUNDTOWN STUDIOS\nASSISTED BY - VISHNU SHANKAR & FAZIL MUHAMMED\nARTIST CO-ORDINATION - KD VINCENT & DON VINCENT\n\n\xf0\x9f\x94\x94 Get alerts when we release any new video. TURN ON THE BELL ICON on the channel! \xf0\x9f\x94\x94\n\nDigital Partner - Silly Monks \n\nSUBSCRIBE for more such Videos\n\nConnect with us on:\n\n\xe2\x99\xa6 YouTube        : http://bit.ly/MagicFramesYoutube\xe2\x80\x8b\n\n\xe2\x99\xa6 Facebook      : http://bit.ly/MagicFramesFacebook\xe2\x80\x8b\n\n\xe2\x99\xa6 Twitter           : http://bit.ly/MagicFramesTwitter\xe2\x80\x8b\n\n\xe2\x99\xa6 Instagram     : http://bit.ly/MagicFramesInstagram\xe2\x80\x8b\n\n\xc2\xa9 2021 Magic Frames\n\n* ANTI-PIRACY WARNING *\n\nThis content is Copyrighted to Magic Frames. Any unauthorized reproduction, redistribution or re-upload is strictly prohibited for this material.","https://www.youtube.com/watch?v=oN3tz-UetKw","11011479","296799","18K","256","","['#JanaGanaMana', '#PrithvirajSukumaran', '#DijoJoseAntony']","2022-05-06T20:47:06.162920+05:30"
"cQcfA_I5jA8","UCOQNJjhXwvAScuELTT_i7cQ","PUZHU | Malayalam Movie | Official Teaser | SonyLIV | Streaming Soon","Watch the gripping teaser of the much-awaited crime thriller Puzhu starring Mammootty and Parvathy Thiruvothu.\n\nPuzhu produced by Wayfarer Films and directed by Ratheena PT will be streaming soon on SonyLIV in Malayalam, Tamil, Hindi, Telugu, and Kannada.\n\n#Puzhu #PuzhuOnSonyLIV\n\nPUZHU Movie \nDirected By : Ratheena\nProduced By : S George\nDOP : Theni Eswar\nStory By : Harshad\nScreenplay By : Harshad, Sharfu, Suhas\nMusic : Jakes Bejoy\nArt : Manu Jagadh\nEditor : Deepu Joseph\nSound : Vishnu Govind & Sree Sankar\nExecutive Producers : Renish Abdulkhader, Rajesh Krishna, Shyam Mohan\nProject Designer: Badusha\nMake Up : Amal Chandran, S George\nCostume Designer: Sameera Saneesh, Abhijith\nChief Associate Director : Baby Panicker \nStunts : Mafia Sasi\nAssociate Director : Binu G Nair\nSync Sound : Ajeesh Omanakuttan\nDolby Atmos Mix : Sapthaa Records\nProduction Controller: Prasanth Narayanan\nDi : Moksha Post\nTeaser conformist and colourist : Sajumon R D\nDi Line Producer : Jithin K Salim\nVfx : Coconut Bunch Creations\nStills : Rohith K Suresh\nPublicity Designs : Anand Rajendran\nPRO :Sivaprasad\nMarketing & Communications : Sangeetha Janachandran-Stories Social\n\nFind Out: www.sonyliv.com or Click on the below links to download the SonyLIV app:\n\nAndroid Play Store: https://play.google.com/store/apps/details?id=com.sonyliv&hl=en_IN&gl=US \n\nApp Store: https://apps.apple.com/in/app/sonyliv-originals-hollywood/id587794258","https://www.youtube.com/watch?v=cQcfA_I5jA8","567750","23631","333","44","['PUZHU movie', 'PUZHU malayalam movie', 'PUZHU malayalam movie on sonyliv', 'PUZHU teaser', 'PUZHU trailer', 'PUZHU teaser on sonyliv', 'PUZHU trailer on sonyliv', 'PUZHU on sonyliv', 'PUZHU movie on sonyliv', 'PUZHU Mammootty', ""PUZHU Mammootty's movie"", 'PUZHU starring Mammootty', 'PUZHU malayalam movie teaser', 'PUZHU malayalam movie trailer', 'PUZHU', ""Mammootty's new movies"", 'Mammootty', 'Parvathy Thiruvothu', 'Ratheena PT', 'PuzhuOnSonyLIV', 'Puzhu', 'PUZHU only on sonyliv', ""Mammootty's PUZHU"", 'PUZHU sonyliv']","['#Puzhu', '#PuzhuOnSonyLIV']","2022-05-06T20:47:06.171215+05:30"
"95ADPYoSRPc","UCoRF8GByEjmM_yHwUGIDGyQ","Jo & Jo - Official Trailer | Nikhila Vimal, Mathew, Neslen | Arun D Jose | May 13 Release","Jo & Jo is a coming of age comedy-drama that tells the story of how a few youngsters in a village enjoy their life when the world itself shuts down due to covid19 pandemic and how their life fell apart after an unexpected event happened.\n\nCREW\nStory, direction: Arun D Jose\nProduced by: Harris Desom, Adarsh Narayan, P B Anish, Anumod Bose\nDop: Ansar Shah\nMusic : Govind Vasantha\nEditor: Chaman Chakko\nScreenplay & dialogue: Arun D Jose, Raveesh Nath\nLyrics: Suhail Koya, Titto P Thankachen\nSound design :Sachin Sudhakaran, Hariharan M (Sync Cinema)\nSound mixing: Vishnu Sujathan\nArt director: Nimesh M Thanoor\nCostume designer : Sujith C S\nMake up: Sinoop Raj\nProduction controller: Rinny Divakar\nDirection team :  Raveesh Nath, Rejivan Abdhul Basher, Vishnu Visiga, Archana Rudraksh, Jishnu Rathnakaran\nAsso editors: Muhammad Shabeer, Thomas P Sebastian \nCinematography team: Jithin George, Azeem sha, Ramesh Kumar NG, Anirudh\nSubtitle: Ranjini Achuthan\nProduction executive: Vinosh Kaimal\nFinance controller: Vijeesh Ravi\nProduction managers: Sujeed daan, Indrajith babu\nPro : A S Dinesh\nDigital marketing: 10Gmedia\nVfx: Accel Media\nDi studio: Poetic Prism and Pixels Cochin\nColourist: Srik Varier\nTrailer cuts:  Chaman chakko\nStills: Shijin Raj\nPoster designer: Manu Davinci, yellowtooths\nProduction house: Imagin Cinemas & Signature Studios\nDistribution: Icon cinemas\n\nLabel: Saregama India Limited, A RPSG Group Company\n\nTo buy the original and virus free track, visit www.saregama.com\nFollow us on: YouTube: https://www.youtube.com/user/Saregamamalayalam\nFacebook: http://www.facebook.com/Saregamamalayalam\nTwitter: https://twitter.com/saregamasouth\xe2\x80\x8b\xe2\x80\x8b\n\n#JoAndJo #SaregamaMalayalam","https://www.youtube.com/watch?v=95ADPYoSRPc","2199271","104280","1.2K","144","['Aaraanu Athu', 'Aaraanu Athu song', 'jo and jo', 'jo and jo songs', 'govind vasantha', 'Mathew', 'Naslen', 'Nikhila Vimal', 'govind vasantha songs', 'govind vasantha new song', 'nikhila vimal movies', 'govind vasantha malayalam song', 'malayalam dance songs', 'naslen k gafoor', 'malayalam songs 2022', 'trending malayalam songs', 'jo and jo new malayalam movie', 'jo jo song', 'hridhayam songs', 'ollulleru', 'pakaliravukal', 'ashubha mangalakaari', 'bheeshma parvam songs']","['#JoAndJo', '#SaregamaMalayalam']","2022-05-06T20:47:06.181066+05:30"
"x4TpzSinWqg","UC9AifK4X8HU47bac_Sy5JDw","Makal Official Trailer | Jayaram | Meera Jasmine | Sathyan Anthikad | Devika Sanjay | Naslen","Presenting The Official Trailer Of 'Makal' Malayalam Movie Directed By Sathyan Anthikad. \n\nCast : Jayaram, Meera Jasmine, Devika Sanjay, Naslen, Innocent, Sreenivasan, Sidhique, Altaf Salim, Jayasankar, Dayyana Hameed, Meera Nair, Sreedhanya, Nilja Baby and  Balaji Manohar.  \n\nDirector : Sathyan Anthikad\nProduced by : Central Productions\nWritten by : Dr. Iqbal Kuttipuram\nDoP : S. Kumar ISC\nEditor : K Rajagopal\nMusic : Vishnu Vijay\nBackground Score : Rahul Raj\nLyricist : Harinarayanan\nSync Sound & Sound Design : Anil Radhakrishnan\nAtmox sound mix : Sinoy Joseph \nProduction Designer : Manu Jagadh\nCostume Designer : Samira Saneesh\nMakeup : Pandian\nChoreographer : Anna Prasad\nStunts : Supreme Sundar\nProduction Controller : Biju Thomas\nDesigns : Jayaram Ramachandran\nDI Colourist : Raghuraman (Whitee Lottus Digital Studio, Chennai)\nVfx: Jishu \nAssociate Director : Anoop Sathyan\n\n#Makal #Jayaram #Meerajasmine #Naslen #SathyanAnthikad\n\n\nMusic On: 123Musix\nDigital Partner: Avenir Technology\n\nDon\xe2\x80\x99t forget to like, subscribe and share our channel with your friends. This way we can keep bringing you even more videos. :-)\n\nSubscribe Us : https://avenir.to/Qx2YN\nLike on  Facebook : https://avenir.to/wfPEo\nFollow on Instagram : https://avenir.to/xieYB\nFollow on Twitter : https://avenir.to/d9RSf\n\n\xe2\x9e\xa4 ANTI-PIRACY WARNING \xe2\x9c\xaa\nThis content is Copyrighted to 123 Musix Entertainments Private Limited. Any unauthorized reproduction, redistribution or re-upload is strictly prohibited. Legal action will be taken against those who violate the copyright of the same.","https://www.youtube.com/watch?v=x4TpzSinWqg","1515693","45714","920","109","['Makal movie trailer', 'makal trailer', 'makal movie trailer', 'Makal', 'Makal Trailer', 'makal malayalam movie Trailer', 'meera jasmine movie trailer', 'meera jasmine and jayaram movie', 'meera jasmine and jayaram new movie', 'jayaram movie', 'naslen', 'devika', 'sathyan anthikad new movie', 'sathyan anthikad new movie makal', 'sathyan anthikad movie makal', 'makal movie', 'film makal trailer', 'makal trailer reaction', 'meera jasmine sathyan anthikad', 'makal trailer full movie']","['#Makal', '#Jayaram', '#Meerajasmine', '#Naslen', '#SathyanAnthikad']","2022-05-06T20:47:06.486248+05:30"
"YS1w0lkyqe0","UChRi1dpwnsZcIo1LSwzY0Iw","Jack N' Jill - Malayalam Movie |Official Trailer|Manju Warrier, Soubin Shahir, Kalidas|Santosh Sivan","Presenting the Official Trailer of Jack N' Jill,  an upcoming Malayalam movie written, directed and cinematographed by Santosh Sivan, starring Manju Warrier, Soubin Shahir, Kalidas Jayaram, Nedumudu Venu, Aju Varghese, Indrans, Shaylee Krishen, Basil Joseph, among others. \n\nWatch Kim Kim lyrical video - https://www.youtube.com/watch?v=T4QhTE3jmB4\nWatch the teaser - https://www.youtube.com/watch?v=TPuv6Ghr-wY\n\nA Santosh Sivan Film\nProducers : Gokulam Goplan, Santosh Sivan & M Prashanth Das\nBanners : Sree Gokulam Movies, Sewas Films\nWriter & Director : Santosh Sivan\nCo-Producers : VC Praveen, Baiju Gopalan\nExecutive Producers : Krishnamoorthy, Sudhakar Cherukuru\nDOP : Santosh SIvan ASC ISC\nEditor : Renjith Touchriver\nMusic : Jakes Bejoy, Ram Surendar, Gopi Sundar\nBackground Score : Jakes Bejoy\nLyrics : BK Harinarayanan\nScreenplay : Santosh Sivan, Ajil S M\nArt Director : Ajayan Chalissery\nCostumes : Sameera Saneesh\nChoreography : Ullas Mohan, Sreejith\nDialogues : Amith Mohan Rajeswari, Suresh Kumar Raveendran, Vijesh Thottingal  \nMakeup : Roni Vellathooval\nAction Choreography : Ullas Mohan\nSound Design : Vishnu PC, Arun S Mani\nProd Controller : Alex E Kurian\nAssociate Director : Kukku Surendran\nStills : Bijith Dharmadam\nVFX : Gemini FX\nDesign : Antony Stephen\nTrailer Cut : Dilip Damodar\nTrailer Grading : SarangsDI\nLabel : Muzik247\n\n\nStream and Listen to Kim Kim on your favourite platforms - https://Muzik247.lnk.to/kimkim\n\nSet Kim Kim song as your Caller Ring Back Tone\nKim Kim\nVi : Dial 53712209978  \nBSNL : SMS BT 12209978 to 56700\nAirtel : Activate Hello Tune on Wynk App\nJio : Jio Tunes Available on JioSaavn\n\n\n\n\n\xf0\x9f\x94\x94 Get alerts when we release any new video. TURN ON THE BELL ICON on the channel! \xf0\x9f\x94\x94\n\nSUBSCRIBE for more such Videos: http://bit.ly/2sw1fP6\n\n\xc2\xa9 2020 Muzik247 \n\n* ANTI-PIRACY WARNING *\nThis content is Copyrighted to Muzik247. Any unauthorized reproduction, redistribution or re-upload is strictly prohibited of this material. Legal action will be taken against those who violate the copyright of the following material presented!\n\n\nJack N Jill Teaser, Jack & Jill Teaser, Jack N Jill Trailer, Jack & Jill Teaser, Manju Warrier Movies, Manju Warrier Songs, Kim Kim, Soubin Shahir, Kalidas Jayaram, Jack N Jill Malayalam Movie, Jack N Jill Songs Malayalam, Santosh Sivan Movies, Soubin Shahir, Ram Surendar Songs, New Malayalam Movies, Jack N Jill Malayalam Full Movie, New Malayalam Trailers, New Malayalam Teasers, Latest Malayalam Teasers, Latest Malayalam Trailers\n\n#ManjuWarrier #SantoshSivan #JackNJill","https://www.youtube.com/watch?v=YS1w0lkyqe0","849498","31920","1.1K","103","['Jack N Jill Teaser', 'Jack & Jill Teaser', 'Jack N Jill Trailer', 'Manju Warrier Movies', 'Manju Warrier Songs', 'Kim Kim', 'Soubin Shahir', 'Kalidas Jayaram', 'Jack N Jill Malayalam Movie', 'Jack N Jill Songs Malayalam', 'Santosh Sivan Movies', 'Ram Surendar Songs', 'New Malayalam Movies', 'Jack N Jill Malayalam Full Movie', 'New Malayalam Trailers', 'New Malayalam Teasers', 'Latest Malayalam Teasers', 'Latest Malayalam Trailers']","['#ManjuWarrier', '#SantoshSivan', '#JackNJill']","2022-05-06T20:47:06.564548+05:30"
"Lq2lTdB1dn8","UCpJmCkjsJbqIBdvTRx2zt-w","Varayan Official Trailer | Siju Wilson | Jijo Joseph | Danny Capuchin | Premachandran A G","Directed by Jijo Joseph\nProduced by  Premachandran A G\nWritten by Danny Capuchin\nSongs & BGM Composed Arranged, Orchestrated and \nProgrammed by : Prakash Alex\nLyrics : B K Harinarayanan\nStarring : Siju Wilson, Leona Lishoy, Maniyanpilla Raju, Vijayaraghavan, Bindu Panicker, Jayasankar, Joy Mathew, Jude Anthany Joseph, Davinji, Baiju Ezhupunna and Naas - Dog (Saajan Saji Cyriac K9 Training School, Pala)\nDOP :  Rajeesh Raman\nEditing : Johnkutty \nDI : RangRays Media Works\nColourist : Liju Prabhakar\nChief Associate Director : Krishna Kumar  \nChoreographer : C Prasanna Sujith  \nProduction Controller : Binu Murali \nArt : Nathan Mannur  \nAction : Alwin Alex\nTrailer Cut - Don Max\nMakeup : Sinoopraj  \nCostumes : Sameera Saneesh \nSound Design : Vignesh, Kishan & Rajeesh\nSound Mix : Vipin Nair\nProject Design : Jojy Joseph  \nVFX : Meraki  \nPRO : A S Dinesh \nStills : Jeo Jomy  \nDesign : Yellowtooths\n\n#Varayan #SijuWilson #VarayanTrailer #SatyamCinemas\n#SatyamVideos #SatyamAudios\n\nSubscribe Now \n\nSatyam Jukebox: https://www.youtube.com/user/satyamjukebox\n\nSatyam Videos: https://www.youtube.com/user/satyamvideos \n\nSatyam Audios: https://www.youtube.com/user/SatyamAudio\n\nFollow us\n\nSatyam Audios Facebook - https://www.facebook.com/SatyamAudios\n\nSatyam Audios Twitter - \nhttps://twitter.com/satyamaudios\n\nSatyam Audios Website - \n http://satyamaudios.com/\n\nSatyam Audios Pinterest - https://www.pinterest.com/satyamaudios/","https://www.youtube.com/watch?v=Lq2lTdB1dn8","1794220","19460","794","155","['Varayan', 'Varayan New Movie', 'Varayan Movie Trailer', 'Satyam Audios', 'Satyam Videos', 'Satyam Cinemas', 'New Film Trailer', 'Siju Wilson', 'Siju', 'Wilson', 'Leona Lishoy', 'Maniyanpilla Raju', 'Bindu Panicker', 'Jayasankar', 'Davinji', 'Baiju Ezhupunna.', 'Vijayaraghavan', 'Jijo Joseph', 'Danny Capuchin', 'Premachandran A G', 'Varayan Trailer', 'New Film Varayan Trailer', 'Trailer Varayan']","['#Varayan', '#SijuWilson', '#VarayanTrailer', '#SatyamCinemas', '#SatyamVideos', '#SatyamAudios']","2022-05-06T20:47:06.655746+05:30"
"_iVx4aJEKKA","UCeM3IXubMXTH3LdsMQ3VAhw","Paappan Official Trailer  | Suresh Gopi | Joshiy | Nyla Usha | David Kachappilly | R J Shaan","Official Trailer of Malayalam movie ","https://www.youtube.com/watch?v=_iVx4aJEKKA","4075836","104632","6.3K","162","['suresh gopi latest movie update', 'paappan release date', 'paappan official trailer', 'paappan official teaser', 'latest ott update', 'Joshiy malayalam movie poster', 'Nyla Usha malayalam movie', 'Gokul Suresh latest movie', 'paappan update', 'paappan movie', 'paappan suresh gopi', 'Paappan Official trailer', 'paappan movie trailer', 'suresh gopi latest movie trailer', 'suresh gopi malayalam movie trailer', 'kgf malayalam movie full', 'kgf response in theatre', 'kgf response', 'paappan - motion poster']","[]","2022-05-06T20:47:06.852019+05:30"
"Neo6E4sbZvQ","UCM1pr5O0pJ-4uNkuOZoG0WQ","Naradan Official Trailer | Aashiq Abu | Tovino Thomas | Anna Ben | Indrans | Renji Panicker","Presenting Official Trailer Of Malayalam Movie Naradan Directed By Aashiq Abu \n\nDirected By : Aashiq Abu \nProduced By : Santhosh Kuruvila , Rima Kallingal ,  Aashiq Abu \nStory , Screen Play & Dialogues : Unni R\nDirector Of Photography : Jaffer Zadique \nMusic By : Dj Sekhar \nOst By : Yakzan & Neha \nFilm Editor : Saiju Sreedharan \nProduction Designer : Gokul Das \nSound Edit & Fx : Arun Rama Varma \nSound Design: Dan Jose & Saiju Sreedharan \nSound Mixing : Dan Jose \nCostume Designer : Mashar Hamsa \nMake Up By : Ronex Xavier \nExecutive Producer : Abid Abu , Wazim Hyder \nProduction Controller : Benny Kattapana \nChief Associate Director : Bibin Ravindher \nStills By : Shalu Peyad \nDI Studio : Lal Media \nDI Colorist : Remesh C P\nVfx By : Mindstein Studios \nDesign By : Popkon \n\nStarring : Tovino Thomas , Anna Ben , Indrans , Renji Panicker ,Sharaf U Dheen , Rajesh Madhavan , Navas Vallikkunnu \n\n#NaaradhanOfficialTrailer #AashiqAbu #TovinoThomas #AnnaBen  #Indrans #RenjiPanicker \n\n\nSubscribe Us : https://goo.gl/qEgy3D\r\nLike us on Facebook : https://goo.gl/VsKBT6","https://www.youtube.com/watch?v=Neo6E4sbZvQ","2178760","74194","2.3K","141","['Naaradhan Official Trailer', 'Naaradhan Trailer', 'New TrailerNaaradhan', 'Naaradhan New Trailer', 'Official Trailer New', 'Malayalam New Official Trailer', 'Traile New Naaradhan', 'Malayalam Movie Trailer', '2021 Malayalam Movie Trailer', 'Movie Trailer 2021', 'New Trailer Naaradhan', 'Latest Malayalam Movie Naaradhan', 'Movie Malayalam Latest Trailer', 'Naaradhan Latest Trailer', 'Tovino Movie Trailer', 'Anna Ben Movie', 'naaradhan movie', 'naaradhan tovino movie', 'official trailer']","['#NaaradhanOfficialTrailer', '#AashiqAbu', '#TovinoThomas', '#AnnaBen', '#Indrans', '#RenjiPanicker']","2022-05-06T20:47:06.886383+05:30"
"h1ehTAaK0os","UCXcgltdMvm3ph4D6u-wku5g","Pada Official Trailer | Kunchacko Boban , Vinayakan , Joju George , Prakash Raj | E4 Entertainment","E4 Entertainment and AVA Productions present PADA ! \n\nPada is an Upcoming Movie Written and Directed by Kamal K M , Produced By E4 Entertainment and AVA Productions , Direction of Photography by Sameer Thahir , Edited by Shan Mohammed , Music by Vishnu Vijay\n\nCast :: Kunchacko Boban , Vinayakan , Joju George , Dileesh Pothan , Prakash Raj , Arjun Radhakrishnan , Indrans , Salim Kumar , Jagadish , T G Ravi , Unnimaya Prasad , Savithri Sreedharan , V K Sreeraman , Shine Tom Chacko , Gopalan Adat , Sudheer Karamana , Dasan Kongad , Kani Kusruti , Hari Kongad , K Rajesh , Siby Thomas , Bitto Davis , Vivek Vijayakumar , James Elia , Sajitha Madathil , Gopal Mangat , Kottayam Ramesh , Shankar Ramakrishnan , Devendranath Shankarnarayanan , Unni Vijayan , Kannan Nayar , Sunil Annur , Rajeevan Vellur , Haris Saleem , Nithin George , Ishitha Sudheesh , Master Davinchi\n\nWRITER & DIRECTOR : Kamal K M\nPRODUCERS : Mukesh R Mehta , A V Anoop , C V Sarathi\nDIRECTOR OF PHOTOGRAPHY : Sameer Thahir\nEDITOR : Shan Mohammed\nPRODUCTION CONTROLLER : N M Badusha\nMUSIC COMPOSER : Vishnu Vijay\nPRODUCTION DESIGNER : Gokul Das\nCOSTUME DESIGNER : Stephy Xaviour\nMAKE-UP: RG Wayanadan\nSOUND MIXING : Pramod Thomas\nSOUND DESIGNER : Ajayan Adat\nPRODUCTION SOUND RECORDIST : Esha Kushwaha\nLYRICS : Vinu Kidachulan\nEXECUTIVE PRODUCERS : K Rajesh , Premlal K K\nPRODUCTION EXECUTIVE : Sudharman Vallikkunnu , Prathapan Kalliyoor , Essa K Esthappan\nCHIEF ASSOCIATE DIRECTOR : Sudha Padmaja Francis\nColourist : Liju Prabhakar\nVfx : Digital Turbo Media\nSTILL PHOTOGRAPHER : Nirmal K F\nSTILL PHOTOGRAPHER (PUBLICITY) : Rohit K Suresh\nPUBLICITY DESIGNER : Old Monks\nTrailer Youtube Version Mixed By Sujith Sreedhar (2BQ Studios)\nPromo Cuts by Chaman Chacko\nPromotion Consultant: Vipin Kumar, 10g Media\n\n#Pada #KunchackoBoban #Vinayakan #JojuGeorge \n\nFor more updates:\nSubscribe: https://www.youtube.com/channel/UCXcgltdMvm3ph4D6u-wku5g?sub_confirmation=1","https://www.youtube.com/watch?v=h1ehTAaK0os","1331155","57026","2K","121","['Pada Movie Teaser', 'Pada teaser', 'Pada Malayalam movie', 'Pada', 'Pada Trailer', 'Kunchacko Boban', 'Vinayakan', 'Joju George', 'Prakash Raj', 'Kunchako Boban New Movie', 'Malayalam Movie Teaser', 'Movie Teaser', 'Joju George Movies', 'Vinayakan Movies', 'pada movie trailer', 'pada malayalam movie trailer']","['#Pada', '#KunchackoBoban', '#Vinayakan', '#JojuGeorge']","2022-05-06T20:47:06.907714+05:30"
